country,totalSites,name,surface_total,surface_oneKM,surface_tenKM,water_m250,water_m500,water_oneKM,people_tenKM,people_oneKM,people_fiveKM,indexYear,kgPerCaptia,rank,topProducer_1,topProducer_1_value,topProducer_2,topProducer_2_value,topProducer_3,topProducer_3_value,topProducer_4,topProducer_4_value,topProducer_5,topProducer_5_value
Latvia,0,LATVIA,,,,,,,,,,2021,22.33768396728874,101,BOREALIS AG,2.277363810419439,Indorama Ventures PCL,5.346440190715042,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,2.2917865192007323,Saudi Arabian Oil Co,1.7880259517054886,UAB NEO GROUP,7.254642193035778
Lebanon,0,LEBANON,,,,,,,,,,2021,15.351036958948255,75,Dow Inc,4.137577070020915,Exxon Mobil Corp,5.436560401306202,Indorama Ventures PCL,6.473048570139657,LyondellBasell Industries NV,3.7606522790658388,Saudi Arabian Oil Co,14.92987678259425
Liberia,1,LIBERIA,10586.692823733392,0.0,1.0,0.0,0.0,0.0,805116.0,9285.0,190378.0,2021,0.26773353772251224,145,Chevron Corp,0.10092286626404573,Exxon Mobil Corp,0.16974420221903894,LyondellBasell Industries NV,0.13472504127305002,Phillips 66,0.10092286626404573,Saudi Arabian Oil Co,0.2155200232990861
Libya,0,LIBYA,,,,,,,,,,2021,5.532923896754893,102,Exxon Mobil Corp,1.528520352260792,LyondellBasell Industries NV,1.9245315732058819,National Oil Corporation of Libya,3.8703515328028626,Oriental Petrochemicals Company,1.2682253960724756,Saudi Arabian Oil Co,4.375598819277724
Lithuania,0,LITHUANIA,,,,,,,,,,2021,22.878744574540644,89,BOREALIS AG,3.6330971950513375,Dow Inc,2.322516913246074,Indorama Ventures PCL,12.304835502877209,Saudi Arabian Oil Co,2.4000202191616156,UAB NEO GROUP,18.30502185168387
Luxembourg,0,LUXEMBOURG,,,,,,,,,,2021,209.06973150069976,68,BOREALIS AG,5.096520319180772,Dow Inc,9.99396183544929,Indorama Ventures PCL,25.842289884098477,JBF Industries Ltd,37.58579952264155,UAB NEO GROUP,3.794134158927953
Madagascar,0,MADAGASCAR,,,,,,,,,,2021,0.2809736372841811,129,Mesaieed Petrochemical Holding,0.43859289463975837,PetroChina Co Ltd,0.41363398053573097,QATAR PETROCHEMICAL CO QAPCO,0.5145386672261243,QATAR PETROLEUM,0.5535883945377787,Sasol Ltd,1.6402579202250904
Malawi,0,MALAWI,,,,,,,,,,2021,0.5107585174873794,127,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",0.03454900146855023,KAP Industrial Holdings Ltd,1.3944280387867753,Reliance Industries Ltd,0.08209776241882694,Sasol Ltd,7.221196904523012,Saudi Arabian Oil Co,0.06611255880237495
Malaysia,103,MALAYSIA,546791.0122581623,51.0,17.0,20.0,38.0,61.0,8310262.0,88868.0,2136244.0,2021,16.41193233169916,33,China Petroleum & Chemical Corp,31.715366200213456,Dow Inc,32.76633427329929,Exxon Mobil Corp,24.900327021589245,LyondellBasell Industries NV,24.397088701127622,Reliance Industries Ltd,24.96602981195003
Maldives,0,MALDIVES,,,,,,,,,,2021,5.780537370854146,140,Chiripal Poly Films,0.07399378751825961,Dhunseri Ventures Ltd,0.3699689375912981,Indorama Ventures PCL,0.6896220996701796,JBF Industries Ltd,0.3403714225839942,Reliance Industries Ltd,1.5070437526362683
Malta,0,MALTA,,,,,,,,,,2021,93.16221849814445,100,BOREALIS AG,1.8702381401636639,LyondellBasell Industries NV,1.8450141288055264,Nizhnekamskneftekhim PJSC,1.7422461510572238,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,4.8831007248057094,Saudi Arabian Oil Co,2.1315393334174444
Mauritania,0,MAURITANIA,,,,,,,,,,2021,0.028672914753487988,149,Chiripal Poly Films,0.003133901013284857,Dhunseri Ventures Ltd,0.01566950506642429,Indorama Ventures PCL,0.029207957443814873,JBF Industries Ltd,0.014415944661110344,Reliance Industries Ltd,0.0638286821347796
Mauritius,0,MAURITIUS,,,,,,,,,,2021,10.168908080080607,123,Dhunseri Ventures Ltd,1.0447495862608345,Indorama Ventures PCL,2.0424935091403342,JBF Industries Ltd,0.9611696193599676,PTT PCL,0.8899968984670362,Reliance Industries Ltd,4.255719974128207
Mexico,221,MEXICO,988751.4256389099,134.0,34.0,33.0,49.0,75.0,19016460.0,110844.0,5306586.0,2021,17.244662836714728,11,Alpek SAB de CV,98.75845450191241,Dow Inc,271.99154846782204,Exxon Mobil Corp,271.90146274545117,Indorama Ventures PCL,323.7709624670474,LyondellBasell Industries NV,136.7417147466909
Moldova,0,MOLDOVA,,,,,,,,,,2021,0.5175712463624509,144,Eni SpA,0.18078392516834968,INEOS LIMITED,0.18078392516834968,KARPATNAFTOHIM TOV,0.23450717521714046,MOGILEVKHIMVOLOKNO OAO,0.21303475565992838,PUBLIC JOINT STOCK COMPANY SIBUR HOLDING,0.18898744774155393
Mongolia,0,MONGOLIA,,,,,,,,,,2021,4.19385782427941,120,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,2.1196027712425103,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",2.618332835064277,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",1.4961901914653013,"ZHEJIANG HENGYI PETROCHEMICALS CO., LTD.",0.9530526562073495,Zhejiang Wankai New Materials Co. Ltd,1.5585314494430222
Montenegro,1,MONTENEGRO,3587.0823167909493,1.0,0.0,0.0,1.0,1.0,112206.0,2043.0,34565.0,2021,32.99647190594707,112,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,3.094555522337619,Far Eastern New Century Corp,1.41785931680153,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",3.8226862334758818,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",2.1843921334147898,Zhejiang Wankai New Materials Co. Ltd,2.2754084723070727
Morocco,54,MOROCCO,311685.7032354166,37.0,8.0,6.0,11.0,15.0,25759032.0,412599.0,7982170.0,2021,11.307814512933344,41,Dow Inc,27.072909051127077,Exxon Mobil Corp,23.572193514556318,LyondellBasell Industries NV,32.298210962858164,Repsol SA,22.80961250750609,Saudi Arabian Oil Co,37.878436424789236
Mozambique,2,MOZAMBIQUE,958.0853170082592,0.0,0.0,0.0,1.0,2.0,1871141.0,19605.0,633073.0,2021,1.7557225732609492,95,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,2.2328418234047813,Indorama Ventures PCL,4.9684314028772665,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",2.7582163700882587,Reliance Industries Ltd,9.131776753859723,Sasol Ltd,2.9620453472428157
Myanmar,49,MYANMAR,243373.41850958538,17.0,4.0,10.0,16.0,28.0,10471807.0,144092.0,3238077.0,2021,5.159797305895251,49,Exxon Mobil Corp,21.327710558539405,Lotte Chemical Corp,12.514759907989532,PTT PCL,19.793668211203173,Saudi Arabian Oil Co,15.562887788978967,Siam Cement PCL/The,13.755429506739127
Namibia,0,NAMIBIA,,,,,,,,,,2021,2.1578190062098055,132,KAP Industrial Holdings Ltd,0.44911934412166127,Sahara International Petrochem,0.6837467864830657,Sasol Ltd,1.1630898869460553,Saudi Arabian Oil Co,0.9659683812778678,Saudi Kayan Petrochemical Co,0.46718040766522617
Nepal,5,NEPAL,25257.03518034648,3.0,1.0,4.0,5.0,5.0,2901028.0,10523.0,355227.0,2021,1.875745273680077,93,GAIL India Ltd,5.986370908307323,Haldia Petrochemicals Ltd,3.3350756803474786,Indian Oil Corp Ltd,4.568210731415501,Oil & Natural Gas Corp Ltd,4.294150562644755,Reliance Industries Ltd,14.41603637507305
Netherlands,0,NETHERLANDS,,,,,,,,,,2021,54.7503185276916,23,Dow Inc,53.1931950425651,Exxon Mobil Corp,49.589258971544865,Indorama Ventures PCL,48.813398152756385,LyondellBasell Industries NV,57.64701586956957,Saudi Arabian Oil Co,52.19926050288368
New Zealand,1,NEW ZEALAND,723.6708375238724,0.0,0.0,1.0,1.0,1.0,7008.0,12.0,1707.0,2021,38.53679074767723,59,China Petroleum & Chemical Corp,10.131553202733112,Dow Inc,8.77280985803235,Exxon Mobil Corp,12.096632266797709,PetroChina Co Ltd,7.731003067416017,Saudi Arabian Oil Co,8.133665380294204
Nicaragua,48,NICARAGUA,89637.76429470367,21.0,1.0,9.0,14.0,27.0,3700671.0,60077.0,1120000.0,2021,0.6152101640108114,137,Dow Inc,0.9959649082928744,Exxon Mobil Corp,1.0566970642841123,LyondellBasell Industries NV,0.4626967925584083,Phillips 66,0.19731602722892383,Westlake Chemical Corp,0.2797464808548642
Nigeria,116,NIGERIA,1079081.7985467436,69.0,18.0,33.0,45.0,52.0,215305604.0,2949684.0,63534858.0,2021,3.5952377318775666,29,China Petroleum & Chemical Corp,20.162796772602196,Exxon Mobil Corp,22.260460801603088,Indorama Ventures PCL,239.88285689047765,Sasol Ltd,38.310874646826825,Saudi Arabian Oil Co,36.82047152210124
Norway,0,NORWAY,,,,,,,,,,2021,26.891133747101968,66,BOREALIS AG,9.558302147293793,Dow Inc,8.43724314195654,Indorama Ventures PCL,8.474603867604802,LyondellBasell Industries NV,10.639318916948621,Saudi Arabian Oil Co,8.430526184325542
Oman,0,OMAN,,,,,,,,,,2021,56.42876194103874,51,Exxon Mobil Corp,4.2110308324670775,OCTAL PETROCHEMICALS FZC,155.70176108651827,OMAN OIL REFINERIES AND PETROLEUM INDUSTRIES COMPANY,38.37376956000265,Reliance Industries Ltd,4.365849962910364,Saudi Arabian Oil Co,13.094952846878646
Pakistan,0,PAKISTAN,,,,,,,,,,2021,3.461959430737135,28,ABU DHABI NATIONAL OIL COMPANY (ADNOC),33.0918077134455,BOREALIS AG,34.90208840179035,Exxon Mobil Corp,35.727790853495954,Gatron Industries Ltd,145.93161962825022,Saudi Arabian Oil Co,87.2262010745638
Panama,28,PANAMA,25033.61884244353,6.0,0.0,5.0,11.0,15.0,3476182.0,44526.0,1164571.0,2021,14.638891397930164,90,China Petroleum & Chemical Corp,3.650369737718774,Dow Inc,4.802261088242026,Exxon Mobil Corp,4.827852332165087,Indorama Ventures PCL,3.025057473774133,LyondellBasell Industries NV,2.858020283689661
Papua New Guinea,2,PAPUA NEW GUINEA,9567.985884876207,2.0,0.0,0.0,1.0,1.0,360001.0,6722.0,141354.0,2021,0.013449225563328901,150,CHINA RESOURCES (HOLDINGS) COMPANY LIMITED,0.018671262250949342,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",0.023064500427643304,"JIANGYIN CHENGXING INDUSTRIAL GROUP CO., LTD.",0.013179714530081888,Rongsheng Petro Chemical Co Lt,0.008395297611627503,Zhejiang Wankai New Materials Co. Ltd,0.013728869302168633
Paraguay,2,PARAGUAY,36673.84982224646,0.0,1.0,0.0,0.0,1.0,90719.0,153.0,6679.0,2021,11.772284733687213,84,Alpek SAB de CV,5.1148032679443105,Braskem SA,16.767209566018003,Indorama Ventures PCL,11.277043946093082,OCTAL PETROCHEMICALS FZC,13.364049184069614,Reliance Industries Ltd,8.750010018889391
Peru,23,PERU,92407.7800716485,15.0,2.0,4.0,7.0,11.0,3952587.0,60291.0,1588107.0,2021,15.184469154974177,35,Braskem SA,73.73513605096154,Dow Inc,24.166658599296373,Exxon Mobil Corp,26.74350951452502,Far Eastern New Century Corp,18.06270587833399,"JIANGSU HAILUN PETROCHEMICAL CO., LTD.",20.15773859663826
Philippines,190,PHILIPPINES,516187.902599248,69.0,14.0,61.0,99.0,152.0,96741975.0,960399.0,26480240.0,2021,9.333208137927132,22,China Petroleum & Chemical Corp,49.98058443214223,Exxon Mobil Corp,45.708807175669094,JG Summit Holdings Inc,83.58279201879398,Lotte Chemical Corp,46.5821221893797,PTT PCL,40.808372804531466
Poland,0,POLAND,,,,,,,,,,2021,23.30759216176371,26,BOREALIS AG,47.56037300763453,Indorama Ventures PCL,74.33196358177761,LyondellBasell Industries NV,63.69604767977786,Saudi Arabian Oil Co,52.218432943009816,UAB NEO GROUP,43.9043732473259
Portugal,11,PORTUGAL,59848.27996603605,7.0,3.0,1.0,8.0,10.0,1617739.0,4819.0,481801.0,2021,24.835730772365157,53,BOREALIS AG,15.199977283569988,Dow Inc,15.72256098605442,LyondellBasell Industries NV,25.250440814329316,Repsol SA,16.197760670677038,Saudi Arabian Oil Co,19.138758342430382
Qatar,0,QATAR,,,,,,,,,,2021,19.694447772356124,91,Dow Inc,2.9211149506158027,Exxon Mobil Corp,2.8434755796716464,Indorama Ventures PCL,2.3927075272703693,LyondellBasell Industries NV,2.170757640496264,Saudi Arabian Oil Co,3.500461700411353
